E	f
0.0	22.02
-0.5	21.35
-1.0	20.7
-1.5	20.07
-2.0	19.45
-2.5	18.84
-3.0	18.22
-3.5	17.62
-4.0	17.03
-4.5	16.43
-5.0	15.84
-5.5	15.24
-6.0	14.65
-6.5	14.05
